02:36:34,962 [DATABASE_LOGGER] DEBUG 89 [DEBUG] STARTING

02:36:48,315 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583880300.0), '202.67', '202.89', '202.38', '202.76', '2090.04229');

02:36:48,458 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583880600.0), '202.76', '202.82', '202.21', '202.39', '1511.72086');

02:36:48,575 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583880900.0), '202.39', '203.32', '202.38', '203.22', '2825.6579');

02:36:48,705 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583881200.0), '203.23', '203.25', '201.75', '201.76', '2795.89748');

02:36:48,840 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583881500.0), '201.75', '201.88', '201.22', '201.4', '4968.08777');

02:36:48,965 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583881800.0), '201.39', '201.54', '200.39', '200.8', '4909.23293');

02:36:49,98 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583882100.0), '200.79', '200.8', '199.94', '200.31', '4135.11979');

02:36:49,258 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583882400.0), '200.31', '202.14', '200.14', '201.17', '9631.30846');

02:36:49,420 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583882700.0), '201.12', '202.13', '201.08', '201.83', '3367.69827');

02:36:49,586 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583883000.0), '201.85', '201.95', '201.16', '201.28', '1448.35912');

02:36:49,695 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583883300.0), '201.2', '201.73', '201.18', '201.33', '1884.61368');

02:36:49,826 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583883600.0), '201.33', '201.47', '200.58', '200.75', '3240.05141');

02:36:49,945 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583883900.0), '200.73', '201.23', '200.56', '201.06', '1621.01341');

02:36:50,75 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583884200.0), '201.04', '201.04', '199.92', '200.39', '4071.58206');

02:36:50,186 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583884500.0), '200.39', '200.7', '200.02', '200.7', '2936.27548');

02:36:50,305 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583884800.0), '200.74', '200.76', '199.92', '200.33', '2214.73731');

02:36:50,440 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583885100.0), '200.32', '201.45', '200.22', '201.43', '2372.55426');

