15:12:55,10 [DATABASE_LOGGER] DEBUG 89 [DEBUG] STARTING

15:13:02,814 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584027900.0), '141.23', '141.37', '139.57', '140.29', '13378.66541');

15:13:02,865 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584028200.0), '140.28', '140.61', '139.32', '140.61', '9331.78119');

15:13:02,915 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584028500.0), '140.55', '141.45', '139.77', '141.1', '11663.3389');

15:13:02,966 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584028800.0), '141.11', '142.65', '139.77', '139.82', '21745.12499');

15:13:03,16 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584029100.0), '139.83', '139.88', '137.42', '137.78', '16294.28274');

15:13:03,71 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584029400.0), '137.68', '138.85', '134.41', '136.6', '26617.94693');

15:13:03,121 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584029700.0), '136.59', '138.17', '135.64', '137.15', '17796.61568');

15:13:03,173 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584030000.0), '137.1', '139.42', '137.02', '138.07', '15798.78664');

15:13:03,224 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584030300.0), '138.09', '138.23', '136.82', '137.07', '11306.77824');

15:13:03,269 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584030600.0), '137.12', '137.36', '136.03', '136.3', '5027.97052');

15:13:03,321 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584030900.0), '136.29', '138.44', '136.23', '138.35', '10455.9465');

15:13:03,374 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584031200.0), '138.34', '138.63', '137.38', '137.98', '7542.99435');

15:13:03,425 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584031500.0), '137.92', '138.07', '135.64', '136.1', '11733.80361');

